Value,Value,Count,P1_001N,POP_AREA,POP_DENS,REP_CAT
262.0,262.0,183.0,36,183.0,0.19672131147540983,0
263.0,263.0,42.0,103,42.0,2.4523809523809526,0
264.0,264.0,1137.0,942,1137.0,0.8284960422163589,0
265.0,265.0,11.0,19,11.0,1.7272727272727273,0
266.0,266.0,20.0,52,20.0,2.6,22
267.0,267.0,10.0,57,10.0,5.7,0
268.0,268.0,975.0,1089,928.0,1.1734913793103448,0
269.0,269.0,1643.0,28,1633.0,0.017146356399265157,0
270.0,270.0,509.0,180,509.0,0.35363457760314343,0
271.0,271.0,6.0,26,6.0,4.333333333333333,0
272.0,272.0,3052.0,100,3050.0,0.03278688524590164,0
273.0,273.0,15.0,48,15.0,3.2,22
274.0,274.0,22.0,44,22.0,2.0,0
275.0,275.0,167.0,231,167.0,1.3832335329341316,0
276.0,276.0,20.0,240,20.0,12.0,0
277.0,277.0,30.0,58,30.0,1.9333333333333333,23
278.0,278.0,28.0,37,28.0,1.3214285714285714,22
279.0,279.0,37.0,69,37.0,1.864864864864865,0
280.0,280.0,13.0,86,13.0,6.615384615384615,23
281.0,281.0,16.0,59,16.0,3.6875,22
282.0,282.0,38.0,127,38.0,3.3421052631578947,22
283.0,283.0,17.0,27,17.0,1.588235294117647,0
284.0,284.0,5.0,25,5.0,5.0,0
285.0,285.0,14.0,65,14.0,4.642857142857143,0
286.0,286.0,14.0,43,14.0,3.0714285714285716,0
287.0,287.0,22.0,52,22.0,2.3636363636363638,0
288.0,288.0,46.0,97,46.0,2.108695652173913,0
289.0,289.0,83.0,126,83.0,1.5180722891566265,0
290.0,290.0,54.0,101,54.0,1.8703703703703705,0
291.0,291.0,41.0,120,41.0,2.926829268292683,0
292.0,292.0,18.0,22,18.0,1.2222222222222223,22
293.0,293.0,4.0,26,4.0,6.5,0
294.0,294.0,7.0,6,7.0,0.8571428571428571,0
295.0,295.0,10.0,21,10.0,2.1,0
296.0,296.0,29.0,38,29.0,1.3103448275862069,22
297.0,297.0,14.0,43,14.0,3.0714285714285716,22
298.0,298.0,12.0,42,12.0,3.5,0
299.0,299.0,12.0,29,12.0,2.4166666666666665,22
300.0,300.0,213.0,182,187.0,0.9732620320855615,0
301.0,301.0,10.0,77,10.0,7.7,0
302.0,302.0,26.0,40,26.0,1.5384615384615385,22
303.0,303.0,43.0,16,43.0,0.37209302325581395,0
304.0,304.0,8898.0,392,8869.0,0.04419889502762431,0
305.0,305.0,15.0,42,15.0,2.8,0
306.0,306.0,17.0,26,17.0,1.5294117647058822,0
307.0,307.0,34.0,93,34.0,2.735294117647059,0
308.0,308.0,47.0,104,47.0,2.2127659574468086,0
309.0,309.0,732.0,591,719.0,0.8219749652294854,0
310.0,310.0,24.0,29,24.0,1.2083333333333333,0
311.0,311.0,60.0,15,60.0,0.25,0
312.0,312.0,102.0,61,102.0,0.5980392156862745,0
313.0,313.0,15.0,18,15.0,1.2,0
314.0,314.0,29.0,59,29.0,2.0344827586206895,0
315.0,315.0,48.0,45,48.0,0.9375,0
316.0,316.0,14.0,34,14.0,2.4285714285714284,22
317.0,317.0,17.0,66,17.0,3.8823529411764706,0
318.0,318.0,40.0,61,40.0,1.525,0
319.0,319.0,37.0,52,37.0,1.4054054054054055,0
320.0,320.0,33.0,50,33.0,1.5151515151515151,0
321.0,321.0,14.0,44,14.0,3.142857142857143,22
322.0,322.0,24.0,55,24.0,2.2916666666666665,22
323.0,323.0,11.0,273,11.0,24.818181818181817,0
324.0,324.0,49.0,66,49.0,1.346938775510204,0
325.0,325.0,107.0,46,107.0,0.42990654205607476,0
326.0,326.0,1128.0,189,1125.0,0.168,90
327.0,327.0,74.0,34,74.0,0.4594594594594595,0
328.0,328.0,44.0,63,44.0,1.4318181818181819,0
329.0,329.0,4.0,20,4.0,5.0,0
330.0,330.0,18.0,171,18.0,9.5,0
331.0,331.0,21.0,71,21.0,3.380952380952381,0
332.0,332.0,7.0,27,7.0,3.857142857142857,0
333.0,333.0,80.0,124,80.0,1.55,0
334.0,334.0,22.0,61,22.0,2.772727272727273,22
335.0,335.0,44.0,101,44.0,2.2954545454545454,22
336.0,336.0,19.0,169,19.0,8.894736842105264,23
337.0,337.0,29.0,53,29.0,1.8275862068965518,22
338.0,338.0,21.0,25,21.0,1.1904761904761905,22
339.0,339.0,18.0,47,18.0,2.611111111111111,22
340.0,340.0,31.0,45,31.0,1.4516129032258065,0
341.0,341.0,513.0,303,428.0,0.7079439252336449,0
342.0,342.0,34.0,45,34.0,1.3235294117647058,0
343.0,343.0,22.0,51,22.0,2.3181818181818183,22
344.0,344.0,195.0,80,190.0,0.42105263157894735,0
345.0,345.0,53.0,85,53.0,1.6037735849056605,0
346.0,346.0,95.0,197,95.0,2.0736842105263156,0
347.0,347.0,123.0,14,123.0,0.11382113821138211,82
348.0,348.0,6.0,24,6.0,4.0,0
349.0,349.0,334.0,261,306.0,0.8529411764705882,0
350.0,350.0,190.0,205,190.0,1.0789473684210527,0
351.0,351.0,5.0,38,5.0,7.6,0
352.0,352.0,55.0,54,55.0,0.9818181818181818,0
353.0,353.0,94.0,541,94.0,5.75531914893617,0
354.0,354.0,157.0,27,157.0,0.17197452229299362,0
355.0,355.0,17.0,48,17.0,2.823529411764706,0
356.0,356.0,16.0,37,16.0,2.3125,23
357.0,357.0,254.0,375,254.0,1.4763779527559056,0
358.0,358.0,56.0,13,56.0,0.23214285714285715,0
359.0,359.0,45.0,82,45.0,1.8222222222222222,0
