,Value,Count,ancID,polyID,POP_COUNT,POP_AREA,CLASSDENS,POP_EST,TOTALFRACT,NEW_POP,NEWDENSITY
6637,1655312.0,154.0,22.0,1797.0,0.0,296.0,0.002,0.308,0.6704397039616892,0.0,0.0
6638,1655313.0,20.0,23.0,1796.0,0.0,53.0,0.002,0.04,0.3846153846153846,0.0,0.0
6639,1657131.0,9.0,21.0,1799.0,0.0,14.0,0.001,0.009000000000000001,0.47368421052631576,0.0,0.0
6640,1657132.0,10.0,22.0,1798.0,0.0,54.0,0.002,0.02,0.2127659574468085,0.0,0.0
6641,1657133.0,13.0,23.0,1797.0,0.0,296.0,0.002,0.026000000000000002,0.05659555942533741,0.0,0.0
6642,1658952.0,67.0,21.0,1800.0,0.0,258.0,0.001,0.067,0.17091836734693877,0.0,0.0
6643,1658953.0,5.0,22.0,1799.0,0.0,14.0,0.002,0.01,0.5263157894736842,0.0,0.0
6644,1658954.0,28.0,23.0,1798.0,0.0,54.0,0.002,0.056,0.5957446808510638,0.0,0.0
6645,1660774.0,41.0,21.0,1801.0,0.0,510.0,0.001,0.041,0.24728588661037396,0.0,0.0
6646,1660775.0,149.0,22.0,1800.0,0.0,258.0,0.002,0.298,0.760204081632653,0.0,0.0
6647,1660777.0,1.0,24.0,1798.0,0.0,54.0,0.003,0.003,0.031914893617021274,0.0,0.0
6648,1660824.0,1.0,71.0,1751.0,0.0,601.0,0.0001,0.0001,0.00010614584439019212,0.0,0.0
6649,1662597.0,27.0,21.0,1802.0,0.0,109.0,0.001,0.027,0.1413612565445026,0.0,0.0
6650,1662598.0,38.0,22.0,1801.0,0.0,510.0,0.002,0.076,0.4583835946924005,0.0,0.0
6651,1662599.0,12.0,23.0,1800.0,0.0,258.0,0.002,0.024,0.061224489795918366,0.0,0.0
6652,1664411.0,74.0,11.0,1813.0,0.0,1453.0,0.0,0.0,0.0,0.0,0.0
6653,1664421.0,5.0,21.0,1803.0,0.0,96.0,0.001,0.005,0.026737967914438502,0.0,0.0
6654,1664422.0,79.0,22.0,1802.0,0.0,109.0,0.002,0.158,0.8272251308900523,0.0,0.0
6655,1664423.0,3.0,23.0,1801.0,0.0,510.0,0.002,0.006,0.03618817852834741,0.0,0.0
6656,1666236.0,7.0,11.0,1814.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0
6657,1666246.0,148.0,21.0,1804.0,0.0,792.0,0.001,0.148,0.10213940648723256,0.0,0.0
6658,1666247.0,88.0,22.0,1803.0,0.0,96.0,0.002,0.176,0.9411764705882353,0.0,0.0
6659,1666248.0,3.0,23.0,1802.0,0.0,109.0,0.002,0.006,0.031413612565445025,0.0,0.0
6660,1668072.0,60.0,21.0,1805.0,0.0,77.0,0.001,0.06,0.6382978723404255,0.0,0.0
6661,1668073.0,405.0,22.0,1804.0,0.0,792.0,0.002,0.81,0.5590062111801243,0.0,0.0
6662,1668074.0,3.0,23.0,1803.0,0.0,96.0,0.002,0.006,0.03208556149732621,0.0,0.0
6663,1669899.0,1.0,21.0,1806.0,0.0,9.0,0.001,0.001,0.058823529411764705,0.0,0.0
6664,1669900.0,17.0,22.0,1805.0,0.0,77.0,0.002,0.034,0.3617021276595745,0.0,0.0
6665,1669901.0,226.0,23.0,1804.0,0.0,792.0,0.002,0.452,0.3119392684610076,0.0,0.0
6666,1671728.0,4.0,22.0,1806.0,0.0,9.0,0.002,0.008,0.47058823529411764,0.0,0.0
6667,1671730.0,13.0,24.0,1804.0,0.0,792.0,0.003,0.039,0.02691511387163561,0.0,0.0
6668,1671788.0,98.0,82.0,1746.0,0.0,210.0,0.0001,0.0098,0.06675749318801089,0.0,0.0
6669,1673556.0,9.0,21.0,1808.0,0.0,60.0,0.001,0.009000000000000001,0.08108108108108109,0.0,0.0
6670,1673557.0,13.0,22.0,1807.0,0.0,18.0,0.002,0.026000000000000002,0.7222222222222222,0.0,0.0
6671,1673558.0,4.0,23.0,1806.0,0.0,9.0,0.002,0.008,0.47058823529411764,0.0,0.0
6672,1675386.0,12.0,21.0,1809.0,0.0,15.0,0.001,0.012,0.6666666666666666,0.0,0.0
6673,1675387.0,42.0,22.0,1808.0,0.0,60.0,0.002,0.084,0.7567567567567567,0.0,0.0
